elapsed_host_seconds,touch_state,serial_message
29.003,0,No touch detected...
29.003,0,No touch detected...
29.003,0,No touch detected...
29.003,0,No touch detected...
29.204,0,No touch detected...
29.204,0,No touch detected...
29.204,0,No touch detected...
29.204,0,No touch detected...
29.404,0,No touch detected...
29.404,0,No touch detected...
29.405,0,No touch detected...
29.405,0,No touch detected...
29.605,0,No touch detected...
29.605,0,No touch detected...
29.605,0,No touch detected...
29.605,0,No touch detected...
29.807,0,No touch detected...
29.807,0,No touch detected...
29.807,0,No touch detected...
29.807,0,No touch detected...
30.008,0,No touch detected...
30.008,0,No touch detected...
30.008,0,No touch detected...
30.008,0,No touch detected...
30.209,0,No touch detected...
30.209,0,No touch detected...
30.209,0,No touch detected...
30.209,0,No touch detected...
30.412,0,No touch detected...
30.412,0,No touch detected...
30.412,0,No touch detected...
30.412,0,No touch detected...
30.615,0,No touch detected...
30.615,0,No touch detected...
30.615,0,No touch detected...
30.615,0,No touch detected...
30.818,0,No touch detected...
30.818,0,No touch detected...
30.818,0,No touch detected...
30.818,0,No touch detected...
31.023,0,No touch detected...
31.023,0,No touch detected...
31.023,0,No touch detected...
31.023,0,No touch detected...
31.227,0,No touch detected...
31.227,0,No touch detected...
31.227,0,No touch detected...
31.227,0,No touch detected...
31.427,0,No touch detected...
31.427,0,No touch detected...
31.427,0,No touch detected...
31.427,0,No touch detected...
31.633,0,No touch detected...
31.633,0,No touch detected...
31.633,0,No touch detected...
31.633,0,No touch detected...
31.838,0,No touch detected...
31.838,0,No touch detected...
31.838,0,No touch detected...
31.838,0,No touch detected...
32.039,0,No touch detected...
32.039,0,No touch detected...
32.039,0,No touch detected...
32.039,0,No touch detected...
32.240,0,No touch detected...
32.240,0,No touch detected...
32.241,0,No touch detected...
32.241,0,No touch detected...
32.444,0,No touch detected...
32.444,0,No touch detected...
32.444,0,No touch detected...
32.444,0,No touch detected...
32.650,0,No touch detected...
32.650,0,No touch detected...
32.650,0,No touch detected...
32.650,0,No touch detected...
32.852,0,No touch detected...
32.852,0,No touch detected...
32.852,0,No touch detected...
32.852,0,No touch detected...
32.852,0,No touch detected...
33.052,0,No touch detected...
33.052,0,No touch detected...
33.052,0,No touch detected...
33.052,0,No touch detected...
33.252,0,No touch detected...
33.252,0,No touch detected...
33.252,0,No touch detected...
33.252,0,No touch detected...
33.453,0,No touch detected...
33.453,0,No touch detected...
33.453,0,No touch detected...
33.453,0,No touch detected...
33.653,0,No touch detected...
33.653,0,No touch detected...
33.653,0,No touch detected...
33.653,0,No touch detected...
33.854,0,No touch detected...
33.854,0,No touch detected...
33.854,0,No touch detected...
33.854,0,No touch detected...
34.055,0,No touch detected...
34.055,0,No touch detected...
34.055,0,No touch detected...
34.055,0,No touch detected...
34.255,0,No touch detected...
34.255,0,No touch detected...
34.255,0,No touch detected...
34.255,0,No touch detected...
34.456,0,No touch detected...
34.456,0,No touch detected...
34.456,0,No touch detected...
34.456,0,No touch detected...
34.658,0,No touch detected...
34.658,0,No touch detected...
34.658,0,No touch detected...
34.658,0,No touch detected...
34.858,0,No touch detected...
34.858,0,No touch detected...
34.858,0,No touch detected...
34.858,0,No touch detected...
35.060,0,No touch detected...
