elapsed_seconds,adc
48.706,0
48.706,0
48.907,0
48.907,0
49.109,0
49.109,0
49.310,0
49.310,0
49.513,0
49.513,0
49.716,0
49.716,0
49.920,0
49.920,0
50.121,0
50.121,0
50.323,0
50.323,0
50.528,0
50.528,0
50.733,0
50.733,0
50.938,0
50.938,0
51.143,0
51.143,0
51.347,0
51.347,0
51.552,0
51.552,0
51.754,0
51.754,0
51.959,0
51.959,0
52.164,0
52.164,0
52.369,0
52.370,0
52.570,0
52.571,0
52.776,0
52.776,0
52.977,0
52.977,0
53.182,0
53.182,0
53.388,0
53.388,0
53.593,0
53.593,0
53.798,0
53.798,0
54.000,0
54.001,0
54.001,0
54.201,0
54.201,0
54.401,0
54.401,0
54.601,0
54.601,0
54.802,0
54.802,0
55.002,0
55.002,0
55.203,0
55.203,0
55.404,0
55.404,0
55.605,0
55.605,0
55.806,0
55.806,0
56.008,0
56.008,0
56.210,0
56.210,0
56.411,0
56.411,0
56.614,0
56.614,0
56.818,0
56.818,0
57.022,0
57.022,0
57.227,0
57.227,0
57.432,0
57.432,0
57.636,0
57.636,0
57.836,0
57.836,0
58.040,0
58.040,0
58.243,0
58.243,0
58.449,0
58.449,0
58.652,0
58.652,0
58.855,0
58.855,0
59.060,0
59.060,0
59.266,0
59.266,0
59.471,0
59.471,0
59.674,0
59.674,0
59.879,0
59.879,0
60.084,0
60.084,0
60.286,0
60.286,0
60.490,0
60.490,0
60.693,0
60.693,0
60.898,0
60.898,0
61.101,0
61.101,0
61.101,0
61.301,0
61.301,0
61.502,0
61.502,0
61.702,0
61.702,0
61.903,0
61.903,0
62.104,0
62.104,0
62.305,0
62.305,0
62.506,0
62.507,0
62.708,0
62.708,0
62.910,0
62.910,0
63.113,0
63.113,0
63.316,0
63.316,0
63.519,0
63.519,0
63.723,0
63.723,0
63.927,0
63.927,0
64.129,0
64.129,0
64.334,0
64.334,0
64.539,0
64.539,0
64.745,0
64.745,0
64.950,0
64.950,0
65.155,0
65.155,0
65.360,0
65.360,0
65.565,0
65.565,0
65.771,0
65.771,0
65.976,0
65.976,0
66.181,0
66.181,0
66.387,0
66.387,0
66.592,0
66.592,0
66.797,0
66.797,0
67.001,0
67.001,0
67.001,0
67.201,0
67.201,0
67.401,0
67.402,0
67.602,0
67.602,0
67.803,0
67.803,0
68.003,0
68.004,0
68.204,0
68.204,0
68.406,0
68.406,0
68.607,0
68.607,0
68.809,0
68.809,0
69.012,0
69.012,0
69.215,0
69.215,0
69.419,0
69.419,0
69.624,0
69.624,0
69.829,0
69.829,0
70.034,0
70.034,0
70.239,0
70.239,0
70.444,0
70.444,0
70.649,0
70.649,0
70.854,0
70.854,0
71.059,0
71.059,0
71.265,0
71.265,0
71.469,0
71.469,0
71.672,0
71.672,0
71.872,0
71.873,0
72.077,0
72.077,0
72.282,0
72.282,0
72.487,0
72.487,0
72.693,0
72.693,0
72.898,0
72.898,0
73.101,0
73.101,0
73.101,0
73.301,231
73.301,603
73.501,1018
73.501,1394
73.702,1422
73.702,1417
73.902,1423
73.902,1424
74.103,1587
74.103,1939
74.304,2368
74.304,2479
74.505,2475
74.505,2474
74.706,2478
74.706,2554
74.908,2851
74.908,3228
75.110,3279
75.110,3279
75.310,3280
75.310,3282
75.513,3278
75.513,3280
75.716,3283
75.716,3283
75.920,3298
75.920,3526
76.126,3728
76.126,3824
76.331,3955
76.331,4095
76.535,4095
76.535,4095
76.739,4095
76.739,4095
76.944,4095
76.944,4095
77.149,4095
77.149,4095
77.352,4095
77.352,4095
77.557,4095
77.557,4095
77.760,4095
77.760,4095
77.961,4095
77.961,4095
78.166,4095
78.166,4095
78.372,4095
78.372,4095
78.577,4095
78.577,4095
78.782,4095
78.782,4095
78.985,4095
78.985,4095
79.191,4095
79.191,4095
79.392,4095
79.392,4095
79.597,4095
79.597,4095
79.801,4095
79.801,4095
79.801,4095
80.001,4095
80.001,4095
80.201,4095
80.201,4095
80.402,4095
80.402,4095
80.602,4095
80.602,4095
80.803,4095
80.803,4095
81.004,4095
81.004,4095
81.205,4095
81.205,4095
81.406,4095
81.406,4095
81.607,4095
81.607,4095
81.809,4095
81.809,4095
82.012,4095
82.012,4095
82.214,4095
82.214,4095
82.417,4095
82.418,4095
82.622,4095
82.622,4095
82.826,4095
82.826,4095
83.031,4095
83.031,4095
83.237,4095
83.237,4095
83.442,4095
83.442,4095
83.647,4095
83.648,4095
83.853,4095
83.853,4095
84.057,4095
84.057,4095
84.260,4095
84.260,4095
84.465,4095
84.466,4095
84.668,4095
84.668,4095
84.872,4095
84.872,4095
85.078,3952
85.078,2975
85.281,2298
85.281,2169
85.486,2167
85.486,2171
85.692,2105
85.692,1725
85.897,1168
85.897,703
86.101,511
86.101,511
86.101,511
86.301,336
86.301,0
86.502,0
86.502,0
86.702,0
86.702,0
86.903,0
86.903,0
87.104,0
87.104,0
87.305,0
87.305,0
87.507,0
87.507,0
87.709,0
87.709,0
87.911,0
87.911,0
88.114,0
88.114,0
88.317,0
88.317,0
88.520,0
88.520,0
88.726,0
88.726,0
88.931,0
88.931,0
89.136,0
89.136,0
89.341,75
89.341,237
89.543,467
89.543,704
89.748,868
89.748,869
89.953,867
89.953,885
90.157,993
90.157,1143
90.359,1367
90.359,1472
90.564,1485
90.564,1485
90.769,1488
90.769,1535
90.974,1582
90.975,1605
91.180,1603
91.180,1602
91.385,1601
91.385,1603
91.586,1600
91.586,1602
91.790,1602
91.790,1603
91.994,1601
91.994,1603
92.200,1600
92.200,1602
92.401,1605
92.401,1605
92.401,1599
92.601,1606
92.601,1600
92.802,1600
92.802,1603
93.002,1607
93.002,1601
93.203,1600
93.203,1603
93.403,1603
93.403,1601
93.604,1605
93.604,1600
93.805,1603
93.805,1607
94.007,1605
94.007,1602
94.209,1600
94.209,1605
94.411,1607
94.411,1605
94.614,1602
94.614,1604
94.815,1600
94.815,1601
95.017,1600
95.017,1603
95.221,1601
95.221,1604
95.426,1599
95.426,1602
95.631,1603
95.631,1602
95.836,1600
95.836,1603
96.041,1602
96.041,1602
96.246,1600
96.246,1603
96.450,1602
96.450,1605
96.652,1605
96.652,1603
96.857,1605
96.857,1603
97.063,1603
97.063,1600
97.268,1603
97.268,1602
97.473,1601
97.473,1602
97.674,1603
97.674,1601
97.879,1602
97.879,1604
98.084,1606
98.085,1605
98.290,1605
98.290,1606
98.495,1602
98.495,1601
98.696,1601
98.696,1603
98.898,1597
98.898,1603
99.101,1603
99.101,1603
99.101,1602
99.301,1603
99.301,1603
99.501,1601
99.501,1601
99.702,1603
99.702,1600
99.902,1602
99.902,1601
100.103,1603
100.103,1600
100.303,1603
100.303,1601
100.504,1603
100.504,1601
100.705,1604
100.705,1605
100.907,1602
100.907,1605
101.108,1604
101.109,1602
101.310,1603
101.310,1605
101.513,1605
101.513,1601
101.716,1602
101.716,1600
101.920,1601
101.920,1603
102.121,1600
102.121,1605
102.324,1603
102.325,1605
102.530,1607
102.530,1604
102.735,1609
102.735,1602
102.940,1603
102.940,1605
103.145,1603
103.145,1605
103.350,1600
103.350,1605
103.552,1601
103.552,1600
103.758,1602
103.758,1603
103.963,1605
103.963,1603
104.168,1602
104.168,1607
104.373,1600
104.374,1603
104.577,1607
104.577,1606
104.782,1601
104.782,1603
104.984,1603
104.984,1605
105.186,1601
105.186,1604
105.391,1603
105.391,1600
105.596,1600
105.597,1599
105.801,1600
105.801,1600
105.801,1603
106.001,1600
106.001,1602
106.202,1602
106.202,1601
106.402,1601
106.403,1601
106.603,1600
106.603,1605
106.804,1600
106.804,1607
107.005,1599
107.005,1601
107.207,1604
107.207,1602
107.408,1604
107.408,1602
107.610,1603
107.610,1600
107.813,1602
107.813,1605
108.016,1606
108.016,1602
108.218,1607
108.219,1604
108.419,1603
108.419,1605
108.622,1609
108.622,1606
108.827,1605
108.827,1602
109.030,1604
109.030,1603
109.236,1602
109.236,1607
109.441,1603
109.441,1602
109.647,1600
109.647,1603
109.852,1600
109.852,1603
110.057,1599
110.057,1603
110.260,1603
110.260,1605
110.461,1603
110.461,1606
110.666,1603
110.667,1600
110.872,1604
110.872,1602
111.077,1602
111.077,1601
111.283,1602
111.283,1600
111.485,1607
111.485,1603
111.691,1604
111.691,1602
111.896,1601
111.896,1601
112.101,1603
112.101,1600
112.101,1602
112.302,1603
112.302,1602
112.502,1604
112.502,1601
112.703,1600
112.703,1603
112.903,1604
112.904,1601
113.104,1602
113.104,1602
113.306,1606
113.306,1601
113.507,1605
113.507,1602
113.708,1602
113.708,1600
113.910,1602
113.911,1603
114.111,1602
114.111,1603
114.314,1601
114.314,1602
114.518,1601
114.518,1600
114.723,1605
114.723,1600
114.927,1604
114.927,1604
115.131,1603
115.131,1605
115.336,1603
115.336,1603
115.538,1602
115.538,1601
115.741,1603
115.741,1605
115.946,1601
115.946,1605
116.147,1603
116.147,1606
116.348,1603
116.348,1601
116.552,1601
116.552,1603
116.758,1601
116.758,1606
116.963,1601
116.963,1605
117.168,1601
117.168,1605
117.374,1601
117.374,1601
117.575,1606
117.575,1603
117.777,1603
117.777,1601
117.982,1602
117.982,1602
118.185,1607
118.185,1603
118.389,1603
118.389,1603
118.594,1604
118.594,1605
118.799,1602
118.799,1603
119.001,1601
119.001,1603
119.001,1600
119.201,1603
119.201,1601
119.402,1601
119.402,1604
119.602,1607
119.602,1606
119.803,1610
119.803,1602
120.004,1602
120.004,1605
120.205,1606
120.205,1603
120.406,1602
120.406,1604
120.606,1601
120.606,1600
120.808,1600
120.808,1607
121.010,1602
121.010,1601
121.212,1601
121.213,1600
121.416,1606
121.416,1607
121.620,1603
121.620,1605
121.825,1605
121.825,1606
122.027,1603
122.027,1602
122.229,1605
122.229,1604
122.432,1603
122.432,1605
122.636,1603
122.636,1601
122.841,1600
122.841,1601
123.046,1604
123.046,1600
123.252,1603
123.252,1600
123.457,1604
123.457,1600
123.660,1601
123.660,1601
123.862,1600
123.862,1602
124.067,1603
124.067,1601
124.271,1594
124.271,1603
124.476,1603
124.476,1601
124.681,1602
124.682,1600
124.886,1607
124.886,1605
125.091,1602
125.091,1603
125.294,1601
125.294,1605
125.499,1603
125.499,1605
